dataset,embedding_label,embedding,holdout_cell_type,score_method,method_label,target_known_coverage,target_known_coverage_label,known_coverage_mean,known_coverage_std,unknown_recall_mean,unknown_recall_std,accepted_known_accuracy_mean,accepted_known_accuracy_std,n_split_seeds
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,proto_class_z,Class-z prototype,0.95,95%,0.9522317330608968,0.0091695352042003,0.4093234004797138,0.04518830638933943,0.6186946048103017,0.013015964824237801,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,proto_class_z,Class-z prototype,0.9,90%,0.9067444836175066,0.0172305401714616,0.45987322620368376,0.041060756482314394,0.629137748593685,0.015880730668865268,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,proto_class_z,Class-z prototype,0.8,80%,0.803370677932354,0.02508268168870517,0.5435268959867093,0.056839593856052965,0.6552782073045876,0.017823378277178767,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.9551319733955052,0.010793025957825766,0.5944568299718124,0.0338300929437352,0.6220896405540449,0.023051975704855367,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.9072696878225543,0.011393587516523035,0.7135910582889126,0.019267579203186936,0.6214736909455117,0.0211018490085662,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Average across holdouts,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.8065605468713003,0.015649642046666166,0.7901128085817503,0.008382286523610701,0.6217553312547445,0.0182158817760882,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,mlp_maxprob,MLP maxprob,0.95,95%,0.9465231788079472,0.0076230890286233,0.1706093189964158,0.1069383535586088,0.7297847654085985,0.0064951930961957,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,mlp_maxprob,MLP maxprob,0.9,90%,0.8950331125827814,0.0137077694339153,0.2591397849462366,0.1092352343769541,0.747888453570441,0.0029627458687322,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,mlp_maxprob,MLP maxprob,0.8,80%,0.7819536423841059,0.0191348760264888,0.4111111111111111,0.1126511950605246,0.7847058364917198,0.0064604567118192,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.949503311258278,0.0052027338948578,0.4921146953405017,0.0622949998048067,0.5997859065786042,0.0213908437000789,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9004966887417218,0.0133275574817868,0.6422939068100358,0.0393163988255309,0.6025755729806164,0.0202531693411703,5
